age,monthly_fee,devices_used_enc,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,country_ Brazil   ,country_ Canada   ,country_ France   ,country_ Germany  ,country_ India    ,country_ Japan    ,country_ Spain    ,country_ UK       ,country_ USA      ,subscription_type_ Premium          ,subscription_type_ Standard         ,cluster_1,cluster_2,cluster_3,actual_total_revenue_to_date,predicted_total_revenue_to_date,residual
41,7.99,3,187,5,10,97,2.3,28,57,6,False,False,False,False,False,True,False,False,False,False,True,False,False,True,15.98,224.5879517476519,-208.60795174765192
42,7.99,2,250,2,8,89,4.2,37,4,15,False,False,False,False,True,False,False,False,False,False,False,True,False,False,407.49,294.7893899377354,112.70061006226462
29,7.99,1,279,9,13,44,2.7,3,4,14,False,False,False,False,False,False,False,False,False,False,True,False,False,True,263.67,213.07079861155353,50.59920138844649
37,12.99,1,291,13,5,82,3.3,40,79,57,False,False,False,True,False,False,False,False,False,False,True,False,False,True,441.66,278.14218883500155,163.51781116499848
58,15.99,3,40,17,10,52,1.1,41,58,27,False,False,False,False,False,False,False,True,False,False,True,False,True,False,111.93,259.5604533194654,-147.6304533194654
44,12.99,2,218,7,10,60,2.2,7,16,7,False,False,True,False,False,False,False,False,False,False,True,False,False,True,311.76,283.86514137798235,27.894858622017637
50,12.99,3,293,7,9,76,1.8,35,33,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,376.71,278.8991891553547,97.81081084464529
18,7.99,2,47,3,3,66,2.8,8,70,48,False,False,False,False,False,False,False,True,False,False,True,False,False,False,399.5,575.1263219009556,-175.62632190095565
60,12.99,1,225,6,14,56,3.4,20,30,11,False,True,False,False,False,False,False,False,False,False,True,False,False,False,701.46,626.154329528611,75.30567047138902
58,7.99,2,185,15,13,58,4.3,17,20,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,87.89,224.52350126608542,-136.63350126608543
40,7.99,3,51,13,3,48,3.2,3,43,23,False,False,False,False,False,True,False,False,False,False,True,False,False,False,399.5,571.1209330363555,-171.6209330363555
32,12.99,2,266,7,14,98,4.4,46,13,47,False,False,True,False,False,False,False,False,False,True,False,False,False,True,298.77,283.754620774105,15.015379225895003
49,12.99,3,156,15,14,54,1.9,33,62,26,False,False,False,False,False,False,True,False,False,False,True,False,True,False,103.92,206.2980161502503,-102.3780161502503
42,15.99,3,284,6,14,92,3.2,10,98,23,False,False,False,False,False,False,True,False,False,False,False,False,False,False,607.62,654.9538961543057,-47.33389615430565
56,12.99,3,159,4,4,59,1.3,21,29,15,False,False,False,False,True,False,False,False,False,False,True,False,True,False,103.92,203.0792137579188,-99.1592137579188
34,7.99,1,173,14,6,37,1.8,26,64,8,False,False,False,False,False,True,False,False,False,False,False,False,False,True,463.42,228.391114875113,235.028885124887
55,15.99,2,258,18,7,99,1.6,37,53,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,495.69,662.7694803624029,-167.07948036240288
27,7.99,1,291,14,10,31,4.6,10,20,4,False,False,False,False,False,False,False,True,False,False,True,False,False,True,135.83,209.32384511096134,-73.49384511096133
20,7.99,3,145,6,8,78,3.4,34,47,14,False,False,False,False,False,False,True,False,False,False,True,False,False,True,303.62,230.85208974003874,72.76791025996127
48,15.99,3,204,1,10,33,2.6,40,86,5,False,False,False,True,False,False,False,False,False,False,True,True,False,False,79.95,400.5330085187279,-320.5830085187279
37,7.99,2,217,6,12,79,3.7,13,9,31,False,False,False,False,False,False,True,False,False,True,False,False,False,True,375.53,222.05921451713658,153.4707854828634
34,15.99,1,198,5,3,52,2.6,3,87,11,False,False,False,False,False,True,False,False,False,False,True,False,False,False,767.52,663.5443118175685,103.97568818243144
64,7.99,1,31,18,3,34,4.7,2,46,49,False,False,False,False,False,True,False,False,False,False,True,False,True,False,263.67,147.27025367064766,116.39974632935235
32,12.99,3,58,14,2,50,4.7,17,79,5,False,False,False,False,False,False,False,False,False,False,True,False,True,False,12.99,212.2426715128056,-199.2526715128056
31,7.99,1,83,11,3,30,1.5,19,16,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,71.91,149.50482703189033,-77.59482703189033
48,12.99,3,68,2,6,86,3.3,24,99,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,493.62,377.74308062527535,115.87691937472465
26,12.99,1,14,4,4,79,4.3,11,53,24,False,False,False,False,False,False,True,False,False,False,False,False,True,False,77.94,224.36240100656386,-146.42240100656386
32,15.99,2,221,7,13,37,1.6,48,66,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,815.49,668.1037297879153,147.3862702120847
39,12.99,2,257,11,5,86,2.7,40,88,49,False,False,False,False,False,False,False,False,True,False,False,False,False,True,103.92,285.3044528812404,-181.3844528812404
29,15.99,1,154,9,12,89,2.3,20,21,56,False,False,False,False,False,True,False,False,False,False,False,False,False,False,447.72,674.5424989938306,-226.82249899383055
43,15.99,2,214,7,3,95,4.6,7,28,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,703.5600000000001,659.0777264243568,44.48227357564326
26,7.99,1,274,6,12,41,2.8,1,71,1,False,False,False,False,False,True,False,False,False,False,True,False,False,True,439.45,211.62583884080846,227.82416115919153
62,15.99,3,114,10,8,88,2.4,21,49,28,False,False,False,True,False,False,False,False,False,True,False,False,True,False,143.91,248.07348799229675,-104.16348799229675
53,7.99,2,143,18,8,63,4.2,0,10,42,False,True,False,False,False,False,False,False,False,False,True,False,False,True,303.62,225.94255694670755,77.67744305329245
20,15.99,1,142,2,1,88,2.1,27,57,31,False,True,False,False,False,False,False,False,False,False,True,True,False,False,783.51,415.9802924778166,367.5297075221834
20,7.99,2,159,9,11,31,1.7,32,63,54,True,False,False,False,False,False,False,False,False,False,True,False,False,True,95.88,225.9615720587974,-130.0815720587974
54,12.99,1,61,19,14,44,4.8,16,59,47,False,False,False,False,False,False,True,False,False,True,False,False,True,False,51.96,216.5365057472854,-164.57650574728538
63,7.99,3,66,6,11,46,3.2,38,25,15,False,False,False,False,False,False,False,True,False,True,False,True,False,False,255.68,314.2776605199572,-58.597660519957174
47,15.99,2,95,16,3,45,2.6,37,27,59,False,False,False,False,False,False,False,False,False,True,False,False,False,False,527.67,679.7614631443521,-152.09146314435213
24,15.99,3,167,3,7,42,3.2,16,2,34,False,False,False,False,False,False,False,True,False,False,True,False,False,False,751.53,665.7155790592146,85.81442094078534
