user_id, age, gender, country  , account_age_months, subscription_type, monthly_fee, payment_method, primary_device, devices_used, favorite_genre, avg_watch_time_minutes, watch_sessions_per_week, binge_watch_sessions, completion_rate, rating_given, content_interactions, recommendation_click_rate, days_since_last_login, churned, total_revenue_to_date, watch_efficiency   , engagement_rate
U100000,  56, Male  , India    ,                 17, Standard         ,       15.99, PayPal        , Laptop        ,            1, Sci-Fi        ,                    220,                      17,                    3,              60,          1.7,                    5,                        66,                    16, No     ,    271.83            , 13.758599124452783 ,  0.2777777777777778
U100001,  46, Female, USA      ,                 20, Standard         ,       12.99, PayPal        , Tablet        ,            2, Documentary   ,                     76,                      15,                    4,              71,          4.6,                    7,                        78,                    14, No     ,    259.8             ,  5.850654349499615 ,  0.4375
U100002,  32, Other , USA      ,                 25, Basic            ,       15.99, PayPal        , Tablet        ,            2, Comedy        ,                    215,                       6,                   13,              33,          2.0,                   27,                        29,                    41, No     ,    399.75            , 13.445903689806128 ,  3.857142857142857
U100003,  60, Male  , Canada   ,                 37, Standard         ,       12.99, PayPal        , Smart TV      ,            3, Action        ,                    280,                       4,                    9,              58,          1.2,                    9,                        23,                    22, No     ,    480.63            , 21.55504234026174  ,  1.8
U100004,  25, Male  , Brazil   ,                 23, Premium          ,       12.99, PayPal        , Mobile        ,            3, Horror        ,                    261,                      15,                    9,              64,          1.3,                   49,                        56,                    54, No     ,    298.77            , 20.092378752886837 ,  3.0625
U100005,  38, Female, France   ,                 23, Standard         ,       12.99, PayPal        , Tablet        ,            2, Documentary   ,                     92,                      11,                    1,              46,          3.9,                   15,                        36,                    18, No     ,    298.77            ,  7.082371054657429 ,  1.25
U100006,  56, Other , Brazil   ,                 11, Basic            ,       15.99, Credit Card   , Tablet        ,            1, Documentary   ,                    111,                       9,                   12,              93,          3.3,                   45,                        46,                     2, No     ,    175.89000000000001,  6.941838649155722 ,  4.5
U100007,  36, Other , Australia,                 46, Standard         ,       15.99, PayPal        , Mobile        ,            3, Sci-Fi        ,                    293,                      10,                    2,              81,          1.7,                   42,                        35,                    59, No     ,    735.54            , 18.323952470293932 ,  3.8181818181818183
U100008,  40, Female, Australia,                 20, Basic            ,       12.99, Credit Card   , Laptop        ,            2, Romance       ,                    202,                       7,                    9,              60,          2.0,                   15,                        24,                    31, No     ,    259.8             , 15.550423402617398 ,  1.875
U100009,  28, Female, UK       ,                  7, Premium          ,       15.99, UPI           , Mobile        ,            2, Action        ,                    246,                       2,                    5,              55,          4.9,                   11,                        17,                    31, Yes    ,    111.93            , 15.384615384615385 ,  3.6666666666666665
U100010,  28, Female, Brazil   ,                 23, Standard         ,       12.99, Credit Card   , Mobile        ,            1, Sci-Fi        ,                     44,                      18,                    4,              68,          1.4,                   22,                        80,                     7, No     ,    298.77            ,  3.3872209391839876,  1.1578947368421053
U100011,  41, Other , France   ,                 23, Basic            ,       12.99, Debit Card    , Smart TV      ,            2, Romance       ,                    182,                       3,                   10,              84,          2.5,                   28,                        40,                    40, No     ,    298.77            , 14.01077752117013  ,  7.0
U100012,  53, Male  , Australia,                 27, Standard         ,        7.99, UPI           , Mobile        ,            1, Documentary   ,                     42,                      18,                    5,              74,          2.9,                   12,                        43,                     0, Yes    ,    215.73000000000002,  5.256570713391739 ,  0.631578947368421
U100013,  57, Female, UK       ,                 21, Standard         ,        7.99, UPI           , Smart TV      ,            1, Documentary   ,                     68,                      13,                    5,              76,          1.7,                    6,                        67,                    12, No     ,    167.79            ,  8.51063829787234  ,  0.42857142857142855
U100014,  41, Female, Japan    ,                 21, Basic            ,       12.99, UPI           , Mobile        ,            2, Action        ,                    150,                      10,                    4,              52,          1.2,                   21,                        77,                    16, Yes    ,    272.79            , 11.547344110854503 ,  1.9090909090909092
U100015,  20, Male  , Germany  ,                 58, Standard         ,       15.99, Credit Card   , Mobile        ,            2, Documentary   ,                    294,                       1,                    3,              35,          2.5,                    7,                        53,                    19, No     ,    927.42            , 18.386491557223263 ,  3.5
U100016,  39, Male  , India    ,                 32, Premium          ,        7.99, PayPal        , Laptop        ,            2, Thriller      ,                    141,                      15,                    1,              71,          4.0,                   16,                        60,                    32, No     ,    255.68            , 17.647058823529413 ,  1.0
U100017,  19, Other , Canada   ,                 50, Standard         ,        7.99, Credit Card   , Tablet        ,            2, Romance       ,                    154,                      10,                    1,              89,          2.3,                   39,                        10,                    33, No     ,    399.5             , 19.27409261576971  ,  3.5454545454545454
U100018,  41, Female, Brazil   ,                 28, Standard         ,        7.99, Credit Card   , Smart TV      ,            3, Comedy        ,                    219,                      19,                    2,              45,          3.9,                   15,                        86,                    16, No     ,    223.72            , 27.409261576971215 ,  0.75
U100019,  61, Other , USA      ,                 37, Basic            ,        7.99, Debit Card    , Tablet        ,            1, Comedy        ,                     20,                      16,                    7,              72,          2.7,                   34,                        86,                    42, No     ,    295.63            ,  2.5031289111389237,  2.0
U100020,  47, Male  , USA      ,                  2, Basic            ,       12.99, PayPal        , Smart TV      ,            2, Comedy        ,                    283,                      15,                    5,              71,          2.9,                   11,                        77,                    20, No     ,     25.98            , 21.78598922247883  ,  0.6875
U100021,  55, Female, Japan    ,                 29, Premium          ,       12.99, Credit Card   , Mobile        ,            1, Drama         ,                     80,                      10,                    3,              77,          1.5,                   24,                        55,                    49, No     ,    376.71            ,  6.158583525789068 ,  2.1818181818181817
U100022,  19, Other , UK       ,                 50, Premium          ,        7.99, Credit Card   , Mobile        ,            3, Documentary   ,                    275,                      10,                    7,              31,          3.7,                   32,                        55,                     5, Yes    ,    399.5             , 34.4180225281602   ,  2.909090909090909
U100023,  38, Other , USA      ,                  9, Basic            ,       12.99, PayPal        , Tablet        ,            1, Thriller      ,                    171,                      16,                    4,              57,          1.9,                   23,                        22,                    29, Yes    ,    116.91            , 13.163972286374134 ,  1.3529411764705883
U100024,  50, Male  , Brazil   ,                 35, Standard         ,        7.99, UPI           , Tablet        ,            2, Drama         ,                    241,                      19,                   11,              67,          3.9,                   11,                        66,                     0, No     ,    279.65000000000003, 30.16270337922403  ,  0.55
U100025,  29, Female, Brazil   ,                 38, Standard         ,       12.99, PayPal        , Smart TV      ,            1, Drama         ,                     52,                       5,                    2,              33,          2.5,                   48,                        73,                    33, No     ,    493.62            ,  4.003079291762894 ,  8.0
U100026,  39, Other , India    ,                 39, Basic            ,       15.99, UPI           , Smart TV      ,            2, Thriller      ,                    182,                       2,                   11,              77,          3.8,                   34,                        35,                    33, No     ,    623.61            , 11.382113821138212 , 11.333333333333334
U100027,  61, Other , Australia,                 47, Standard         ,       15.99, UPI           , Smart TV      ,            2, Drama         ,                    128,                       9,                    2,              85,          2.7,                   14,                        73,                    30, No     ,    751.53            ,  8.005003126954346 ,  1.4
U100028,  42, Male  , UK       ,                  4, Premium          ,        7.99, UPI           , Mobile        ,            3, Sci-Fi        ,                    127,                      10,                    7,              59,          4.3,                   49,                        18,                    32, No     ,     31.96            , 15.894868585732166 ,  4.454545454545454
U100029,  44, Female, UK       ,                 22, Standard         ,       12.99, PayPal        , Mobile        ,            2, Thriller      ,                     18,                      12,                   11,              97,          2.5,                    5,                        63,                    27, Yes    ,    285.78000000000003,  1.3856812933025404,  0.38461538461538464
U100030,  59, Male  , Germany  ,                 23, Premium          ,        7.99, Credit Card   , Smart TV      ,            1, Action        ,                    291,                       3,                   11,              40,          2.3,                    4,                        69,                    23, No     ,    183.77            , 36.42052565707134  ,  1.0
U100031,  45, Other , India    ,                  6, Basic            ,        7.99, PayPal        , Smart TV      ,            1, Horror        ,                    242,                      18,                    1,              95,          2.2,                   13,                        61,                    46, No     ,     47.94            , 30.287859824780977 ,  0.6842105263157895
U100032,  33, Female, Canada   ,                 36, Basic            ,        7.99, Credit Card   , Mobile        ,            3, Drama         ,                     18,                      13,                   11,              58,          2.4,                   34,                        10,                    34, No     ,    287.64            ,  2.252816020025031 ,  2.4285714285714284
U100033,  32, Male  , India    ,                 20, Standard         ,       15.99, Debit Card    , Tablet        ,            1, Horror        ,                    271,                       3,                    8,              40,          1.8,                   29,                        67,                    21, Yes    ,    319.8             , 16.948092557848653 ,  7.25
U100034,  64, Female, Japan    ,                 51, Premium          ,       15.99, Credit Card   , Tablet        ,            3, Horror        ,                     72,                       8,                   13,              44,          4.7,                   44,                        92,                    33, Yes    ,    815.49            ,  4.50281425891182  ,  4.888888888888889
U100035,  61, Female, France   ,                  5, Premium          ,        7.99, UPI           , Laptop        ,            2, Romance       ,                    212,                      13,                    1,              68,          2.8,                   44,                        32,                    26, No     ,     39.95            , 26.53316645807259  ,  3.142857142857143
U100036,  20, Female, USA      ,                 12, Premium          ,       15.99, PayPal        , Mobile        ,            2, Action        ,                    122,                      12,                   13,              83,          4.3,                   48,                        86,                    16, No     ,    191.88            ,  7.629768605378361 ,  3.6923076923076925
U100037,  54, Other , Japan    ,                 59, Standard         ,        7.99, Credit Card   , Laptop        ,            2, Sci-Fi        ,                     64,                       6,                    3,              65,          4.0,                    3,                        53,                    19, Yes    ,    471.41            ,  8.010012515644556 ,  0.42857142857142855
U100038,  24, Female, Australia,                  1, Premium          ,        7.99, Debit Card    , Mobile        ,            1, Action        ,                     27,                      10,                   13,              51,          2.4,                   34,                        84,                    27, No     ,      7.99            ,  3.379224030037547 ,  3.090909090909091
U100039,  38, Male  , India    ,                 39, Basic            ,       15.99, Debit Card    , Tablet        ,            3, Action        ,                    218,                       7,                    5,              73,          3.8,                    4,                        66,                    21, No     ,    623.61            , 13.633520950594122 ,  0.5
U100040,  26, Female, UK       ,                 41, Standard         ,       15.99, Credit Card   , Laptop        ,            1, Horror        ,                    262,                       2,                   12,              35,          2.3,                   39,                        29,                    56, No     ,    655.59            , 16.38524077548468  , 13.0
U100041,  56, Female, Brazil   ,                  3, Standard         ,       12.99, PayPal        , Laptop        ,            3, Horror        ,                    263,                      11,                    0,              31,          4.1,                   20,                        88,                    50, No     ,     38.97            , 20.24634334103156  ,  1.6666666666666667
U100042,  35, Other , Canada   ,                 42, Standard         ,        7.99, UPI           , Laptop        ,            3, Thriller      ,                    129,                      16,                    1,              67,          2.0,                   31,                        61,                    38, No     ,    335.58            , 16.14518147684606  ,  1.8235294117647058
